"","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2006","2007","2008","2009","2010","2011","2012","Min","Max","Mean","Median"
"1",5,6,7,5,7,3,4,8,6,4,1,5,4,3,5,2,4,2,3,6,1,6,4,5,3,1,8,4.36,4
"2",6,4,6,2,9,5,3,6,4,6,4,2,3,6,5,7,3,4,2,3,NA,3,5,6,6,0,9,4.4,4
"3",5,3,5,5,3,5,3,6,8,2,1,4,4,3,6,5,5,3,1,4,1,4,4,3,5,1,8,3.92,4
"4",1,6,8,5,6,5,5,8,8,2,3,2,5,6,7,7,4,5,2,4,2,6,4,4,10,1,10,5,5
"5",2,5,7,5,6,7,7,4,7,4,5,4,4,4,5,5,7,5,2,9,1,7,6,2,4,1,9,4.96,5
"6",7,6,7,8,4,3,5,7,6,5,2,2,3,4,7,8,5,4,1,3,2,3,5,7,3,1,8,4.68,5
"7",4,4,5,5,7,5,5,5,2,3,5,7,6,4,5,8,4,5,4,3,2,8,2,3,4,2,8,4.6,5
"8",3,8,7,3,3,7,3,6,4,5,3,3,7,5,6,2,3,6,2,6,4,3,5,8,7,2,8,4.76,5
"9",4,4,6,6,2,6,2,7,5,6,4,8,6,9,7,4,9,7,6,3,1,1,5,5,4,1,9,5.08,5
"10",5,5,6,8,5,2,7,5,4,2,8,9,5,7,3,6,5,5,3,5,5,6,1,8,6,1,9,5.24,5
"11",5,3,1,4,4,7,1,6,3,1,6,4,4,9,8,3,11,8,2,7,2,5,4,3,2,1,11,4.52,4
"12",4,5,4,5,6,3,4,4,8,4,NA,4,3,5,6,3,NA,2,1,2,1,4,5,4,4,0,8,3.64,4
"13",3,5,4,4,8,6,7,6,8,7,6,7,4,4,5,5,4,6,3,3,3,6,5,4,6,3,8,5.16,5
"14",9,3,2,8,1,8,8,5,5,7,3,5,4,4,6,5,5,6,2,6,3,9,6,4,5,1,9,5.16,5
"15",6,7,9,5,3,5,7,4,6,5,3,7,7,4,3,7,8,4,4,6,6,7,5,6,3,3,9,5.48,6
"16",4,6,8,10,4,6,7,4,9,6,6,2,3,3,3,5,6,7,4,4,2,7,5,5,6,2,10,5.28,5
"17",4,5,4,7,2,5,5,7,6,3,6,4,3,5,8,7,6,5,5,5,3,5,6,6,3,2,8,5,5
"18",7,3,5,4,7,5,7,4,3,7,5,3,5,6,6,6,3,7,6,7,2,9,1,8,3,1,9,5.16,5
"19",7,5,6,6,8,5,7,3,5,4,4,7,4,6,7,3,2,4,2,4,2,7,6,5,5,2,8,4.96,5
"20",7,6,4,2,4,4,6,8,7,3,6,7,5,7,8,6,5,8,4,5,1,3,3,5,7,1,8,5.24,5
"21",4,2,7,4,8,3,1,7,3,6,7,7,6,7,6,7,6,7,4,3,3,6,3,6,4,1,8,5.08,6
"22",3,6,9,7,7,4,5,6,3,4,9,2,7,5,7,6,7,8,3,6,1,9,5,6,5,1,9,5.6,6
"23",4,7,7,9,6,4,5,8,NA,6,6,4,5,5,5,4,3,5,2,4,2,6,4,2,7,0,9,4.8,5
"24",1,4,6,5,5,4,5,5,4,5,4,8,5,6,6,8,4,3,3,5,3,9,8,6,6,1,9,5.12,5
"25",3,7,4,10,3,8,8,8,3,4,7,5,4,7,3,4,3,3,2,5,2,2,3,3,5,2,10,4.64,4
"26",7,6,10,8,3,5,4,5,6,4,7,6,8,8,7,6,5,4,2,3,2,5,3,1,4,1,10,5.16,5
"27",4,5,5,8,8,4,3,6,4,5,3,6,6,2,10,8,3,2,5,4,2,2,3,6,8,2,10,4.88,5
"28",4,4,7,4,5,8,4,10,7,6,4,5,4,5,5,4,7,7,3,5,2,9,5,7,8,2,10,5.56,5
"29",5,5,8,10,5,9,4,6,6,6,3,5,6,7,3,7,5,7,1,5,2,6,4,7,10,1,10,5.68,6
"30",6,9,9,9,3,2,6,7,4,6,8,4,3,6,6,9,5,6,4,4,2,4,6,6,4,2,9,5.52,6
"31",3,6,4,5,7,8,6,5,4,9,6,4,6,5,8,8,5,12,6,9,NA,4,4,4,7,0,12,5.8,6
"32",4,7,5,4,7,8,6,6,5,8,4,4,3,5,7,3,4,7,6,8,2,4,4,9,8,2,9,5.52,5
"33",4,3,4,10,7,6,6,5,8,3,2,4,4,3,5,6,6,5,2,5,3,7,2,6,5,2,10,4.84,5
"34",4,7,8,6,7,5,5,6,6,6,3,7,12,4,4,5,4,7,1,3,2,2,3,3,8,1,12,5.12,5
"35",8,1,6,8,5,5,6,7,8,10,6,6,7,4,4,5,5,8,2,6,2,9,3,4,1,1,10,5.44,6
"36",5,9,6,6,2,3,5,6,3,4,7,6,5,6,6,5,6,6,6,5,5,5,5,9,8,2,9,5.56,6
"37",7,4,7,3,6,6,3,4,9,5,3,4,4,6,5,5,5,6,1,3,1,4,4,6,5,1,9,4.64,5
"38",8,8,2,6,6,5,9,7,4,8,5,7,9,6,7,5,8,3,1,4,1,9,2,4,8,1,9,5.68,6
"39",4,4,7,2,6,4,3,7,6,3,8,4,5,4,5,5,3,7,3,7,4,3,4,7,2,2,8,4.68,4
"40",8,10,6,7,6,7,4,4,5,7,3,6,6,4,7,7,8,6,3,6,4,5,5,2,3,2,10,5.56,6
"41",6,8,7,9,5,7,7,9,6,7,3,7,2,7,7,6,9,5,5,5,2,6,5,6,5,2,9,6.04,6
"42",3,6,4,5,4,6,4,4,4,6,6,8,6,7,7,2,6,2,6,3,NA,5,4,6,5,0,8,4.76,5
"43",4,7,NA,2,7,7,8,7,4,9,4,7,5,7,3,4,6,4,4,8,2,4,6,7,3,0,9,5.16,5
"44",4,6,4,5,3,4,3,3,5,6,7,4,3,6,NA,5,2,5,5,5,3,6,3,6,5,0,7,4.32,5
"45",6,5,10,5,4,5,8,5,3,9,5,6,5,4,4,7,4,10,2,7,5,6,4,4,7,2,10,5.6,5
"46",3,3,4,3,6,3,4,3,4,7,5,7,9,8,4,4,5,5,7,6,3,5,2,6,6,2,9,4.88,5
"47",3,5,4,2,4,9,5,4,6,8,7,6,5,3,6,3,5,6,3,6,3,8,4,5,7,2,9,5.08,5
"48",1,7,6,4,3,7,3,10,7,6,4,5,7,13,6,5,7,6,5,2,2,5,2,2,4,1,13,5.16,5
"49",7,5,4,11,4,7,6,7,7,7,8,7,3,1,1,6,4,5,2,6,NA,6,6,3,7,0,11,5.2,6
"50",4,NA,4,4,4,3,9,6,10,5,10,4,5,10,5,9,10,7,6,3,3,6,8,11,8,0,11,6.16,6
"51",4,9,2,4,4,8,6,3,6,6,5,8,4,5,4,4,7,3,3,5,2,5,5,7,7,2,9,5.04,5
"52",2,6,5,6,7,5,5,5,2,5,7,4,5,4,5,9,8,5,6,5,NA,4,2,4,8,0,9,4.96,5
"53",2,8,6,5,5,8,7,4,6,11,5,5,13,7,6,6,3,6,1,5,5,9,4,7,5,1,13,5.96,6
"54",6,7,6,10,4,8,7,13,NA,NA,7,2,5,7,5,3,7,8,5,10,4,1,7,5,7,0,13,5.76,6
"55",6,7,2,1,5,3,8,6,5,7,4,4,2,1,2,3,4,2,5,4,NA,1,2,4,4,0,8,3.68,4
"56",5,4,4,6,7,7,6,4,1,4,6,4,10,6,9,6,5,9,5,4,NA,NA,NA,3,5,0,10,4.8,5
"57",NA,6,5,9,1,5,2,5,5,4,5,7,7,4,2,4,6,3,4,4,1,2,4,6,7,0,9,4.32,4
"58",6,5,5,7,4,2,7,6,7,3,6,5,3,4,4,3,4,2,1,3,2,5,5,3,2,1,7,4.16,4
"59",5,6,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0.76,0
"60",5,6,8,4,4,5,7,6,3,3,3,5,4,9,7,5,4,5,4,6,1,7,3,5,3,1,9,4.88,5
"61",7,5,5,5,5,7,6,7,4,10,4,6,4,7,5,5,3,3,NA,4,NA,6,5,5,7,0,10,5,5
"62",8,6,5,4,6,7,6,8,7,6,4,4,7,6,5,7,6,2,2,3,1,5,3,2,2,1,8,4.88,5
"63",7,4,4,6,3,3,11,6,1,6,5,4,5,5,6,8,7,6,1,10,4,5,3,9,9,1,11,5.52,5
"64",6,8,7,8,8,7,7,6,3,9,10,5,6,6,5,5,1,9,2,6,5,5,3,3,7,1,10,5.88,6
"65",3,4,7,3,10,6,5,1,1,4,3,4,4,6,6,8,4,1,5,6,NA,5,5,5,6,0,10,4.48,5
"66",6,6,2,4,8,8,6,6,6,7,7,8,4,5,8,9,9,8,6,6,2,3,4,10,3,2,10,6.04,6
"67",2,7,10,5,4,7,9,2,3,6,3,6,7,4,4,8,9,6,3,4,4,3,3,6,4,2,10,5.16,4
"68",5,8,7,6,6,6,6,2,8,7,4,5,3,6,4,4,2,4,4,5,4,1,3,6,4,1,8,4.8,5
"69",2,7,4,2,4,4,3,6,8,3,4,5,4,3,6,5,4,3,2,5,3,6,3,3,2,2,8,4.04,4
"70",5,5,3,4,5,5,2,7,5,2,4,8,9,5,5,2,3,7,3,5,1,2,2,2,3,1,9,4.16,4
"71",3,5,6,9,7,1,5,5,6,5,8,6,5,6,9,5,2,7,4,7,5,4,5,8,6,1,9,5.56,5
"72",4,5,3,9,7,4,3,4,6,5,3,6,5,9,6,5,1,3,2,4,2,6,7,4,4,1,9,4.68,4
"73",3,4,4,1,2,8,3,8,2,3,6,2,7,6,8,5,9,6,4,4,5,6,3,6,4,1,9,4.76,4
"74",4,5,5,2,7,2,6,4,3,5,9,3,5,4,5,7,5,8,1,7,5,5,2,6,3,1,9,4.72,5
"75",6,8,4,5,9,4,8,5,4,4,6,5,5,7,4,5,6,4,4,4,1,7,5,NA,3,0,9,4.92,5
"76",4,4,3,8,4,9,10,NA,3,6,2,5,6,5,4,5,8,7,1,3,1,3,2,5,4,0,10,4.48,4
"77",3,6,6,5,7,3,5,3,3,7,4,7,7,6,5,4,3,3,2,NA,1,NA,NA,NA,2,0,7,3.68,3
"Mode",4,6,4,5,4,5,5,6,6,6,4,4,5,6,5,5,5,5,2,5,2,6,5,6,4,NA,NA,NA,NA
"Min",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Max",9,10,10,11,10,9,11,13,10,11,10,9,13,13,10,9,11,12,7,10,6,9,8,11,10,NA,NA,NA,NA
"Mean",4.5974025974026,5.53246753246753,5.44155844155844,5.54545454545455,5.16883116883117,5.33766233766234,5.37662337662338,5.55844155844156,4.88311688311688,5.31168831168831,4.92207792207792,5.11688311688312,5.19480519480519,5.42857142857143,5.37662337662338,5.35064935064935,5.05194805194805,5.28571428571429,3.16883116883117,4.87012987012987,2.22077922077922,4.96103896103896,3.90909090909091,5,5.06493506493506,NA,NA,NA,NA
"Median",4,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,3,5,2,5,4,5,5,NA,NA,NA,NA
